OPR_DT,day_of_month,Month,Day_of_week,OPR_HR,Fuel,Solar,Load,Import,Price,Node
5/12/2018,12,5,7,6,3.07,0.28,19888.33,8358.6,17.2605,TH_ZP26
5/12/2018,12,5,7,7,3.07,122.2,20260.52,8669,16.56198,TH_ZP26
5/12/2018,12,5,7,8,3.07,687.89,20664.24,5856,8.27448,TH_ZP26
5/12/2018,12,5,7,9,3.07,1207.91,21406.2,4912,0.653,TH_ZP26
5/12/2018,12,5,7,10,3.07,1434.58,21833.75,5029.56,1.01012,TH_ZP26
5/12/2018,12,5,7,11,3.07,1590.48,22155.25,4804,0.01,TH_ZP26
5/12/2018,12,5,7,12,3.07,1624.83,22128.68,4844,6.00E-05,TH_ZP26
5/12/2018,12,5,7,13,3.07,1623.21,22087.61,4982,0.00014,TH_ZP26
5/12/2018,12,5,7,14,3.07,1629.62,22076.26,4930,0,TH_ZP26
5/12/2018,12,5,7,15,3.07,1609.04,22281.32,4945,0,TH_ZP26
5/12/2018,12,5,7,16,3.07,1521.86,22548.25,4967.93,0,TH_ZP26
5/12/2018,12,5,7,17,3.07,1354.44,22964.44,5243,0.00982,TH_ZP26
5/12/2018,12,5,7,18,3.07,1091.61,23688.83,6475,12.64861,TH_ZP26
5/12/2018,12,5,7,19,3.07,553.39,24437.12,8863.6,30.14997,TH_ZP26
5/12/2018,12,5,7,20,3.07,69.11,24905.43,9623,39.13687,TH_ZP26
5/12/2018,12,5,7,21,3.07,0,25698.76,9891.8,47.58985,TH_ZP26
5/12/2018,12,5,7,22,3.07,0,25081.3,9889.31,39.95092,TH_ZP26
5/12/2018,12,5,7,23,3.07,0,23398.88,9313,28.87076,TH_ZP26
5/12/2018,12,5,7,24,3.07,0,21752.09,8716,22.06806,TH_ZP26
5/13/2018,13,5,1,1,3.07,0,20312.52,8698,18.16112,TH_ZP26
5/13/2018,13,5,1,2,3.07,0,19298.25,8596,16.22435,TH_ZP26
5/13/2018,13,5,1,3,3.07,0,18652.65,8598,13.89319,TH_ZP26
5/13/2018,13,5,1,4,3.07,0,18316.54,8447,10.64993,TH_ZP26
5/13/2018,13,5,1,5,3.07,0,18226.08,8534,11.09396,TH_ZP26
5/13/2018,13,5,1,6,3.07,0.06,18517.13,8597,15.06175,TH_ZP26
5/13/2018,13,5,1,7,3.07,112.98,18459.35,7327,10.35679,TH_ZP26
5/13/2018,13,5,1,8,3.07,641.3,18748.1,5191,0.20048,TH_ZP26
5/13/2018,13,5,1,9,3.07,1163.13,19236.31,4353,-5.49918,TH_ZP26
5/13/2018,13,5,1,10,3.07,1425.29,19454.76,4273,-7.53235,TH_ZP26
5/13/2018,13,5,1,11,3.07,1582.4,19596.53,3986,-11.52884,TH_ZP26
5/13/2018,13,5,1,12,3.07,1615.76,19613.17,3831,-12.19953,TH_ZP26
5/13/2018,13,5,1,13,3.07,1630.96,19719.47,3952,-12.60418,TH_ZP26
5/13/2018,13,5,1,14,3.07,1624.83,19897.81,4125,-11.95505,TH_ZP26
5/13/2018,13,5,1,15,3.07,1610.82,20167.29,4375,-9.53709,TH_ZP26
5/13/2018,13,5,1,16,3.07,1554.33,20677.57,4765,-6.69262,TH_ZP26
5/13/2018,13,5,1,17,3.07,1393.69,21487.12,5264,-0.07414,TH_ZP26
5/13/2018,13,5,1,18,3.07,1150.49,22447.93,5716,10.93239,TH_ZP26
5/13/2018,13,5,1,19,3.07,586.77,23289.09,8603,25.36859,TH_ZP26
5/13/2018,13,5,1,20,3.07,71.31,24039.17,9228.58,35.32584,TH_ZP26
5/13/2018,13,5,1,21,3.07,0,25034.39,9564.8,44.83472,TH_ZP26
5/13/2018,13,5,1,22,3.07,0,24257.04,9467.71,35.62648,TH_ZP26
5/13/2018,13,5,1,23,3.07,0,22530.23,8788,28.02026,TH_ZP26
5/13/2018,13,5,1,24,3.07,0,20771.91,8504,18.83786,TH_ZP26
